time_out,user_action,correct_action,stimulus_color,facing_direction,stroop,inputs_swapped,reaction_time_clock,iti,reading_time_clock,group_name,stimulus_num,rule_name,attempt,block_num,sequence_num
False,SKIP,SKIP,RED,L,False,False,0.4190635040285997,0.5,6.574826486001257,practice,0,once,0,1,0
False,PHOTO,PHOTO,YELLOW,L,False,False,0.3897713650367223,0.5,6.574826486001257,practice,1,once,0,1,0
False,SKIP,SKIP,GREEN,L,False,False,0.19880719104548916,0.5,6.574826486001257,practice,2,once,0,1,0
False,SKIP,SKIP,GREEN,L,False,False,0.16568167600780725,0.5,6.574826486001257,practice,3,once,0,1,0
False,SKIP,SKIP,RED,L,False,False,0.19738430599682033,0.5,6.574826486001257,practice,4,once,0,1,0
False,SKIP,SKIP,YELLOW,L,False,False,0.19847878703149036,0.5,6.574826486001257,practice,5,once,0,1,0
False,SKIP,SKIP,BLUE,L,False,False,0.14841162698576227,0.5,6.574826486001257,practice,6,once,0,1,0
False,SKIP,SKIP,YELLOW,L,False,False,0.11737615603487939,0.5,6.574826486001257,practice,7,once,0,1,0
False,PHOTO,PHOTO,RED,L,False,False,0.33556170598603785,0.5,0.8487724640290253,practice,0,single,0,2,0
False,SKIP,SKIP,YELLOW,L,False,False,0.29898144298931584,0.5,0.8487724640290253,practice,1,single,0,2,0
False,PHOTO,PHOTO,RED,L,False,False,0.3311951239593327,0.5,0.8487724640290253,practice,2,single,0,2,0
False,PHOTO,PHOTO,RED,L,False,False,0.38234574702801183,0.5,0.8487724640290253,practice,3,single,0,2,0
False,PHOTO,PHOTO,RED,L,False,False,0.4632083019823767,0.5,0.8487724640290253,practice,4,single,0,2,0
False,PHOTO,PHOTO,BLUE,L,False,False,0.25191242998698726,0.5,1.2819024400087073,practice,0,first,0,3,0
False,SKIP,SKIP,RED,L,False,False,0.3990911130094901,0.5,1.2819024400087073,practice,1,first,0,3,0
False,SKIP,SKIP,GREEN,L,False,False,0.34919848397839814,0.5,1.2819024400087073,practice,2,first,0,3,0
False,SKIP,SKIP,RED,L,False,False,0.3157519369851798,0.5,1.2819024400087073,practice,3,first,0,3,0
False,SKIP,SKIP,GREEN,L,False,False,0.32891931099584326,0.5,1.2819024400087073,practice,4,first,0,3,0
False,SKIP,SKIP,YELLOW,L,False,False,0.3489816900109872,0.5,1.2819024400087073,practice,5,first,0,3,0
False,SKIP,SKIP,GREEN,L,False,False,0.4351914710132405,0.5,1.280700741976034,easy,0,sequence of two,0,4,1
False,SKIP,SKIP,YELLOW,L,False,False,0.29746744403382763,0.5,1.280700741976034,easy,1,sequence of two,0,4,1
False,SKIP,SKIP,RED,L,False,False,0.2969681110116653,0.5,1.280700741976034,easy,2,sequence of two,0,4,1
False,SKIP,SKIP,RED,L,False,False,0.3646794760134071,0.5,1.280700741976034,easy,3,sequence of two,0,4,1
False,SKIP,SKIP,GREEN,L,False,False,0.3301735310233198,0.5,1.280700741976034,easy,4,sequence of two,0,4,1
False,SKIP,SKIP,RED,L,False,False,0.2996659030322917,0.5,1.280700741976034,easy,5,sequence of two,0,4,1
False,PHOTO,PHOTO,BLUE,L,False,False,0.34708402695832774,0.5,1.280700741976034,easy,6,sequence of two,0,4,1
False,SKIP,SKIP,BLUE,L,False,False,0.26397183997323737,0.5,1.280700741976034,easy,7,sequence of two,0,4,1
False,PHOTO,PHOTO,BLUE,L,False,False,1.3845970329712145,0.5,0.9004704669932835,negation,0,negation,0,5,2
False,PHOTO,PHOTO,BLUE,L,False,False,0.5489908349700272,0.5,0.9004704669932835,negation,1,negation,0,5,2
False,PHOTO,PHOTO,RED,L,False,False,0.41367094800807536,0.5,0.9004704669932835,negation,2,negation,0,5,2
False,SKIP,SKIP,YELLOW,L,False,False,0.4478840189985931,0.5,0.9004704669932835,negation,3,negation,0,5,2
False,PHOTO,PHOTO,GREEN,L,False,False,0.4144376990152523,0.5,0.9004704669932835,negation,4,negation,0,5,2
False,PHOTO,SKIP,YELLOW,L,False,False,0.3302063629962504,0.5,0.9004704669932835,negation,5,negation,0,5,2
False,SKIP,SKIP,YELLOW,L,False,False,0.7000293229939416,0.5,0.5663059229846112,negation,0,negation,1,5,2
False,PHOTO,PHOTO,RED,L,False,False,0.263616627024021,0.5,0.5663059229846112,negation,1,negation,1,5,2
False,PHOTO,PHOTO,BLUE,L,False,False,0.26426898897625506,0.5,0.5663059229846112,negation,2,negation,1,5,2
False,PHOTO,PHOTO,BLUE,L,False,False,0.3630685359821655,0.5,0.5663059229846112,negation,3,negation,1,5,2
False,PHOTO,PHOTO,GREEN,L,False,False,0.36350792698794976,0.5,0.5663059229846112,negation,4,negation,1,5,2
